version,candidates,scan_points,width,height,best_score,time_ms,threads
cpu_omp,4,1081,467,314,0.979743,0.842824,4
cpu_omp,4,1081,467,314,0.944855,0.930846,4
cpu_omp,4,1081,467,314,0.853821,0.852512,4
cpu_omp,4,1081,467,314,0.818795,0.891054,4
cpu_omp,4,1081,467,314,0.773967,1.580490,4
cpu_omp,4,1081,467,314,0.868727,0.533601,4
cpu_omp,4,1081,467,314,0.787089,0.848189,4
cpu_omp,4,1081,467,314,0.866790,0.840115,4
cpu_omp,4,1081,467,314,0.860097,0.881418,4
cpu_omp,4,1081,467,314,0.802300,0.934231,4
cpu_omp,4,1081,467,314,0.824092,0.850272,4
cpu_omp,961,1081,467,314,0.817565,16.296678,4
cpu_omp,961,1081,467,314,0.841251,18.163058,4
cpu_omp,961,1081,467,314,0.816793,18.459155,4
cpu_omp,961,1081,467,314,0.817779,15.884069,4
cpu_omp,961,1081,467,314,0.879157,18.397905,4
cpu_omp,961,1081,467,314,0.949205,18.185350,4
cpu_omp,961,1081,467,314,0.990332,15.061350,4
cpu_omp,961,1081,467,314,0.978255,15.063850,4
cpu_omp,961,1081,467,314,0.866268,20.867313,4
cpu_omp,961,1081,467,314,0.825822,18.431187,4
cpu_omp,961,1081,467,314,0.776264,18.681502,4
cpu_omp,961,1081,467,314,0.775970,14.814940,4
cpu_omp,961,1081,467,314,0.781597,18.601292,4
cpu_omp,961,1081,467,314,0.766999,16.717622,4
cpu_omp,961,1081,467,314,0.771250,14.962025,4
cpu_omp,4,1081,467,314,0.951048,0.575008,4
cpu_omp,4,1081,467,314,0.824581,0.834855,4
cpu_omp,4,1081,467,314,0.746194,1.315747,4
cpu_omp,4,1081,467,314,0.749041,0.586883,4
cpu_omp,4,1081,467,314,0.776104,0.556778,4
cpu_omp,4,1081,467,314,0.710178,0.799386,4
cpu_omp,4,1081,467,314,0.978255,1.068400,4
cpu_omp,4,1081,467,314,0.943545,0.923450,4
cpu_omp,4,1081,467,314,0.856407,1.083348,4
cpu_omp,4,1081,467,314,0.820250,0.529642,4
cpu_omp,4,1081,467,314,0.772578,0.932773,4
cpu_omp,4,1081,467,314,0.873451,0.777146,4
cpu_omp,4,1081,467,314,0.866014,0.847563,4
cpu_omp,4,1081,467,314,0.813423,0.848970,4
cpu_omp,4,1081,467,314,0.830364,1.280330,4
cpu_omp,961,1081,467,314,0.818309,18.789733,4
cpu_omp,961,1081,467,314,0.841040,18.221809,4
cpu_omp,961,1081,467,314,0.815871,18.295455,4
cpu_omp,961,1081,467,314,0.817779,16.916895,4
cpu_omp,961,1081,467,314,0.876926,17.284504,4
cpu_omp,961,1081,467,314,0.949205,18.577803,4
cpu_omp,961,1081,467,314,0.991820,18.374154,4
cpu_omp,961,1081,467,314,0.978999,14.990254,4
cpu_omp,961,1081,467,314,0.868676,14.677646,4
cpu_omp,961,1081,467,314,0.827244,15.640003,4
cpu_omp,961,1081,467,314,0.776264,16.727205,4
cpu_omp,961,1081,467,314,0.777247,18.506032,4
cpu_omp,961,1081,467,314,0.781774,18.378738,4
