[Baseline] candidates=4, scan_points=1081, width=467, he [RUNNING]  Bag Time: 1777606586.919027   Duration: 1.317418 / 96.405450                [RUNNING]  Bag Time: 1777606586.948720   Duration: 1.347112 / 96.405450                [RUNNING]  Bag Time: 1777606586.978968   Duration: 1.377360 / 96.405450                [RUNNING]  Bag Time: 1777606586.998497   Duration: 1.396889 / 96.405450                [RUNNING]  Bag Time: 1777606587.028910   Duration: 1.427301 / 96.405450                [RUNNING]  Bag Time: 1777606587.049217   Duration: 1.447608 / 96.405450                [RUNNING]  Bag Time: 1777606587.068669   Duration: 1.467061 / 96.405450                [RUNNING]  Bag Time: 1777606587.098413   Duration: 1.496804 / 96.405450               ight=314, best_score=0.855312, time=0.176356 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.796028, time=0.183179 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.720702, time=0.185575 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.954378, time=0.178857 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.820185, time=0.182399 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.786345, time=0.176200 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.828666, time=0.178700 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.730990, time=0.179586 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.807604, time=0.180680 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.776503, time=0.177294 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.822659, time=0.183283 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.673882, time=0.180263 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.718743, time=0.182867 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.711128, time=0.171617 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.682999, time=0.181356 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.769295, time=0.184481 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.803247, time=0.178075 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.617301, time=0.179481 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.755408, time=0.181982 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.784397, time=0.173492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.508763, time=0.183128 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.714520, time=0.188180 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.853407, time=11.528698 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.836078, time=11.317811 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.800838, time=11.414791 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.821237, time=11.325155 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.873436, time=11.596721 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.941332, time=11.341717 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.363853 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.356978 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.309165 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.992063, time=11.351352 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.927057, time=11.360416 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.877960, time=11.437760 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.842394, time=11.322706 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802775, time=11.344998 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802242, time=11.361614 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.824835, time=0.188648 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.794185, time=0.187086 ms
[Baseline] candidates=4, scan_points=1081, width=46 [RUNNING]  Bag Time: 1777606587.129163   Duration: 1.527554 / 96.405450                [RUNNING]  Bag Time: 1777606587.148458   Duration: 1.546849 / 96.405450                [RUNNING]  Bag Time: 1777606587.179352   Duration: 1.577743 / 96.405450                [RUNNING]  Bag Time: 1777606587.198366   Duration: 1.596757 / 96.405450                [RUNNING]  Bag Time: 1777606587.219226   Duration: 1.617618 / 96.405450                [RUNNING]  Bag Time: 1777606587.249177   Duration: 1.647569 / 96.405450               7, height=314, best_score=0.713403, time=0.190315 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.730493, time=0.175054 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.746741, time=0.181565 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.650857, time=0.179169 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.721057, time=0.189950 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.730602, time=0.182763 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.682944, time=0.186669 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.976413, time=0.176930 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.937984, time=0.178492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.842909, time=0.188232 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.857898, time=0.180107 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.798614, time=0.200836 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.950482, time=0.190419 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.824469, time=0.183127 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.773623, time=0.179534 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.814620, time=0.193284 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.779623, time=0.180055 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.820816, time=0.182399 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.677423, time=0.183023 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.722606, time=0.177503 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.715380, time=0.177294 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.686151, time=0.183544 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.774145, time=0.184794 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.801016, time=0.182242 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.612548, time=0.184638 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.752433, time=0.176617 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.784397, time=0.182971 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.512514, time=0.186096 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.713776, time=0.188857 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.853407, time=11.566408 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.841429, time=11.260049 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801016, time=11.363853 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.822336, time=11.300779 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.875279, time=11.551928 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.939457, time=11.353645 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.359269 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.352290 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.387031 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.992063, time=11.348332 ms
[Baseline] candidates=256, scan_points=1081, width=467, heigh [RUNNING]  Bag Time: 1777606587.278229   Duration: 1.676621 / 96.405450                [RUNNING]  Bag Time: 1777606587.298524   Duration: 1.696916 / 96.405450                [RUNNING]  Bag Time: 1777606587.328492   Duration: 1.726884 / 96.405450                [RUNNING]  Bag Time: 1777606587.348390   Duration: 1.746782 / 96.405450               t=314, best_score=0.926314, time=11.383124 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.880191, time=11.372395 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.841650, time=11.367551 ms
